1,"1: From fairest creatures we desire increase,"
"1: From fairest creatures we desire increase,","1: That thereby beauty's rose might never die,"
"1: That thereby beauty's rose might never die,","1: But as the riper should by time decease,"
"1: But as the riper should by time decease,",1: His tender heir might bear his memory:
1: His tender heir might bear his memory:,"1: But thou, contracted to thine own bright eyes,"
"1: But thou, contracted to thine own bright eyes,","1: Feed'st thy light's flame with self-substantial fuel,"
"1: Feed'st thy light's flame with self-substantial fuel,","1: Making a famine where abundance lies,"
"1: Making a famine where abundance lies,","1: Thyself thy foe, to thy sweet self too cruel."
"1: Thyself thy foe, to thy sweet self too cruel.",1: Thou that art now the world's fresh ornament
1: Thou that art now the world's fresh ornament,"1: And only herald to the gaudy spring,"
"1: And only herald to the gaudy spring,",1: Within thine own bud buriest thy content
1: Within thine own bud buriest thy content,"1: And, tender churl, makest waste in niggarding."
"1: And, tender churl, makest waste in niggarding.","1: Pity the world, or else this glutton be,"
"1: Pity the world, or else this glutton be,","1: To eat the world's due, by the grave and thee."
